incumbent,party,votes,votes_percent,candidate_name,description,geography,precincts_reporting,slug,race_name,scraped_datetime,updated_datetime,source
False,Non Partisan,26754,0.0209,S. (SHAWN) THEVER,,Los Angeles County,,judge-of-the-superior-court-office-no-118,Superior Court Judge Office No. 118,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,301745,0.24,KAREN A. BRAKO,,Los Angeles County,,judge-of-the-superior-court-office-no-151,Superior Court Judge Office No. 151,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,494095,0.393,PATRICK HARE,,Los Angeles County,,judge-of-the-superior-court-office-no-151,Superior Court Judge Office No. 151,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,220597,0.1755,RICHARD QUIÑONES,,Los Angeles County,,judge-of-the-superior-court-office-no-151,Superior Court Judge Office No. 151,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,240670,0.1914,THOMAS D. ALLISON,,Los Angeles County,,judge-of-the-superior-court-office-no-151,Superior Court Judge Office No. 151,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,387413,0.3152,ALBERT ROBLES,,,,judge-of-the-superior-court-office-no-156,JUDGE OF THE SUPERIOR COURT Office No. 156,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,841715,0.6848,CAROL ELSWICK,,,,judge-of-the-superior-court-office-no-156,JUDGE OF THE SUPERIOR COURT Office No. 156,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Democratic,28359,0.475,ROBERT PULLEN-MILES,,,,member-of-the-state-assembly-62nd-district-short-term-unexpired-term-ending-december-5-2022,"MEMBER OF THE STATE ASSEMBLY, 62nd District - Short Term (Unexpired term ending December 5, 2022)",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Democratic,31348,0.525,TINA SIMONE MCKINNOR,,,,member-of-the-state-assembly-62nd-district-short-term-unexpired-term-ending-december-5-2022,"MEMBER OF THE STATE ASSEMBLY, 62nd District - Short Term (Unexpired term ending December 5, 2022)",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,3542,0.2356,BEN ZHANG,,,,arcadia-unified-school-district-member-board-of-education,"ARCADIA UNIFIED SCHOOL DISTRICT Member, Board of Education",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,5494,0.3654,FENTON ENG,,,,arcadia-unified-school-district-member-board-of-education,"ARCADIA UNIFIED SCHOOL DISTRICT Member, Board of Education",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,6000,0.399,LEIGH CHAVEZ,,,,arcadia-unified-school-district-member-board-of-education,"ARCADIA UNIFIED SCHOOL DISTRICT Member, Board of Education",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,246,0.1971,ADRIAN CLEVELAND,,,,compton-unified-school-district-governing-board-member-trustee-area-a,"COMPTON UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area A",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,750,0.601,DENZELL O. PERRY,,,,compton-unified-school-district-governing-board-member-trustee-area-a,"COMPTON UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area A",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,252,0.2019,LAQUISHA ANDERSON,,,,compton-unified-school-district-governing-board-member-trustee-area-a,"COMPTON UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area A",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,457,0.4407,ADRIENNE MARIE THOMAS,,,,compton-unified-school-district-governing-board-member-trustee-area-e,"COMPTON UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area E",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,580,0.5593,ALMA TAYLOR PLEASANT,,,,compton-unified-school-district-governing-board-member-trustee-area-e,"COMPTON UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area E",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,1305,0.4992,MARY L. JACKSON-FREENY,,,,compton-unified-school-district-governing-board-member-trustee-area-g,"COMPTON UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area G",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,1309,0.5008,SATRA D. ZURITA,,,,compton-unified-school-district-governing-board-member-trustee-area-g,"COMPTON UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area G",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,3919,0.5082,INGRID GUNNELL,,,,glendale-unified-school-district-member-board-of-education-trustee-area-b,"GLENDALE UNIFIED SCHOOL DISTRICT Member, Board of Education, Trustee Area B",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,3792,0.4918,LERNA AMIRYANS,,,,glendale-unified-school-district-member-board-of-education-trustee-area-b,"GLENDALE UNIFIED SCHOOL DISTRICT Member, Board of Education, Trustee Area B",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,4102,0.4872,ARMINA GHARPETIAN,,,,glendale-unified-school-district-member-board-of-education-trustee-area-c,"GLENDALE UNIFIED SCHOOL DISTRICT Member, Board of Education, Trustee Area C",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
