raw_id,raw_name,include,clean_geography,clean_name
8712,UNITED STATES SENATOR - Full Term,No,United States,U.S. Senator
8780,"UNITED STATES SENATOR - Short Term (Unexpired term ending January 3, 2023)",No,United States,U.S. Senator
8780,"UNITED STATES SENATOR - Short Term (Unexpired term ending January 3, 2023)",No,United States,U.S. Senator
8745,"UNITED STATES REPRESENTATIVE, 23rd District",No,United States,"U.S. Representative, 23rd District"
8746,"UNITED STATES REPRESENTATIVE, 26th District",No,United States,"U.S. Representative, 26th District"
8747,"UNITED STATES REPRESENTATIVE, 27th District",No,United States,"U.S. Representative, 27th District"
8748,"UNITED STATES REPRESENTATIVE, 28th District",No,United States,"U.S. Representative, 28th District"
8749,"UNITED STATES REPRESENTATIVE, 29th District",No,United States,"U.S. Representative, 29th District"
8750,"UNITED STATES REPRESENTATIVE, 30th District",No,United States,"U.S. Representative, 30th District"
8750,"UNITED STATES REPRESENTATIVE, 30th District",No,United States,"U.S. Representative, 30th District"
8751,"UNITED STATES REPRESENTATIVE, 31st District",No,United States,"U.S. Representative, 31st District"
8752,"UNITED STATES REPRESENTATIVE, 32nd District",No,United States,"U.S. Representative, 32nd District"
8752,"UNITED STATES REPRESENTATIVE, 32nd District",No,United States,"U.S. Representative, 32nd District"
8753,"UNITED STATES REPRESENTATIVE, 34th District",No,United States,"U.S. Representative, 34th District"
8754,"UNITED STATES REPRESENTATIVE, 35th District",No,United States,"U.S. Representative, 35th District"
8754,"UNITED STATES REPRESENTATIVE, 35th District",No,United States,"U.S. Representative, 35th District"
8755,"UNITED STATES REPRESENTATIVE, 36th District",No,United States,"U.S. Representative, 36th District"
8756,"UNITED STATES REPRESENTATIVE, 37th District",No,United States,"U.S. Representative, 37th District"
8757,"UNITED STATES REPRESENTATIVE, 38th District",No,United States,"U.S. Representative, 38th District"
8758,"UNITED STATES REPRESENTATIVE, 42nd District",No,United States,"U.S. Representative, 42nd District"
8758,"UNITED STATES REPRESENTATIVE, 42nd District",No,United States,"U.S. Representative, 42nd District"
8759,"UNITED STATES REPRESENTATIVE, 43rd District",No,United States,"U.S. Representative, 43rd District"
8760,"UNITED STATES REPRESENTATIVE, 44th District",No,United States,"U.S. Representative, 44th District"
8761,"UNITED STATES REPRESENTATIVE, 45th District",No,United States,"U.S. Representative, 45th District"
8713,"STATE SENATOR, 20th District",No,California,"State Senator, 20th District"
8714,"STATE SENATOR, 22nd District",No,California,"State Senator, 22nd District"
8715,"STATE SENATOR, 24th District",No,California,"State Senator, 24th District"
8715,"STATE SENATOR, 24th District",No,California,"State Senator, 24th District"
8716,"STATE SENATOR, 26th District",No,California,"State Senator, 26th District"
8717,"STATE SENATOR, 28th District",No,California,"State Senator, 28th District"
8718,"STATE SENATOR, 30th District",No,California,"State Senator, 30th District"
8719,"STATE SENATOR, 34th District",No,California,"State Senator, 34th District"
8719,"STATE SENATOR, 34th District",No,California,"State Senator, 34th District"
8720,"STATE SENATOR, 36th District",No,California,"State Senator, 36th District"
8721,"MEMBER OF THE STATE ASSEMBLY, 34th District",No,California,"State Assembly, 34th District"
8722,"MEMBER OF THE STATE ASSEMBLY, 39th District",No,California,"State Assembly, 39th District"
8723,"MEMBER OF THE STATE ASSEMBLY, 40th District",No,California,"State Assembly, 40th District"
8723,"MEMBER OF THE STATE ASSEMBLY, 40th District",No,California,"State Assembly, 40th District"
8724,"MEMBER OF THE STATE ASSEMBLY, 41st District",No,California,"State Assembly, 41st District"
8725,"MEMBER OF THE STATE ASSEMBLY, 42nd District",No,California,"State Assembly, 42nd District"
8726,"MEMBER OF THE STATE ASSEMBLY, 43rd District",No,California,"State Assembly, 43rd District"
8727,"MEMBER OF THE STATE ASSEMBLY, 44th District",No,California,"State Assembly, 44th District"
8728,"MEMBER OF THE STATE ASSEMBLY, 46th District",No,California,"State Assembly, 46th District"
8729,"MEMBER OF THE STATE ASSEMBLY, 48th District",No,California,"State Assembly,  48th District"
8730,"MEMBER OF THE STATE ASSEMBLY, 49th District",No,California,"State Assembly, 49th District"
8731,"MEMBER OF THE STATE ASSEMBLY, 51st District",No,California,"State Assembly, 51st District"
8732,"MEMBER OF THE STATE ASSEMBLY, 52nd District",No,California,"State Assembly, 52nd District"
8733,"MEMBER OF THE STATE ASSEMBLY, 53rd District",No,California,"State Assembly, 53rd District"
