raw_id,raw_name,include
8712,UNITED STATES SENATOR - Full Term,Yes
8780,"UNITED STATES SENATOR - Short Term (Unexpired term ending January 3, 2023)",Yes
8780,"UNITED STATES SENATOR - Short Term (Unexpired term ending January 3, 2023)",Yes
8745,"UNITED STATES REPRESENTATIVE, 23rd District",Yes
8746,"UNITED STATES REPRESENTATIVE, 26th District",Yes
8747,"UNITED STATES REPRESENTATIVE, 27th District",Yes
8748,"UNITED STATES REPRESENTATIVE, 28th District",Yes
8749,"UNITED STATES REPRESENTATIVE, 29th District",Yes
8750,"UNITED STATES REPRESENTATIVE, 30th District",Yes
8750,"UNITED STATES REPRESENTATIVE, 30th District",Yes
8751,"UNITED STATES REPRESENTATIVE, 31st District",Yes
8752,"UNITED STATES REPRESENTATIVE, 32nd District",Yes
8752,"UNITED STATES REPRESENTATIVE, 32nd District",Yes
8753,"UNITED STATES REPRESENTATIVE, 34th District",Yes
8754,"UNITED STATES REPRESENTATIVE, 35th District",Yes
8754,"UNITED STATES REPRESENTATIVE, 35th District",Yes
8755,"UNITED STATES REPRESENTATIVE, 36th District",Yes
8756,"UNITED STATES REPRESENTATIVE, 37th District",Yes
8757,"UNITED STATES REPRESENTATIVE, 38th District",Yes
8758,"UNITED STATES REPRESENTATIVE, 42nd District",Yes
8758,"UNITED STATES REPRESENTATIVE, 42nd District",Yes
8759,"UNITED STATES REPRESENTATIVE, 43rd District",Yes
8760,"UNITED STATES REPRESENTATIVE, 44th District",Yes
8761,"UNITED STATES REPRESENTATIVE, 45th District",Yes
8713,"STATE SENATOR, 20th District",Yes
8714,"STATE SENATOR, 22nd District",Yes
8715,"STATE SENATOR, 24th District",Yes
8715,"STATE SENATOR, 24th District",Yes
8716,"STATE SENATOR, 26th District",Yes
8717,"STATE SENATOR, 28th District",Yes
8718,"STATE SENATOR, 30th District",Yes
8719,"STATE SENATOR, 34th District",Yes
8719,"STATE SENATOR, 34th District",Yes
8720,"STATE SENATOR, 36th District",Yes
8721,"MEMBER OF THE STATE ASSEMBLY, 34th District",Yes
8722,"MEMBER OF THE STATE ASSEMBLY, 39th District",Yes
8723,"MEMBER OF THE STATE ASSEMBLY, 40th District",Yes
8723,"MEMBER OF THE STATE ASSEMBLY, 40th District",Yes
8724,"MEMBER OF THE STATE ASSEMBLY, 41st District",Yes
8725,"MEMBER OF THE STATE ASSEMBLY, 42nd District",Yes
8726,"MEMBER OF THE STATE ASSEMBLY, 43rd District",Yes
8727,"MEMBER OF THE STATE ASSEMBLY, 44th District",Yes
8728,"MEMBER OF THE STATE ASSEMBLY, 46th District",Yes
8729,"MEMBER OF THE STATE ASSEMBLY, 48th District",Yes
8730,"MEMBER OF THE STATE ASSEMBLY, 49th District",Yes
8731,"MEMBER OF THE STATE ASSEMBLY, 51st District",Yes
