raw_name,pdf_name,include,clean_geography,clean_level,clean_name,clean_description,sort_order,incumbent
SIGNAL HILL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,SIGNAL HILL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Signal Hill,,City Council,,,"KEIR JONES,TINA L. HANSEN"
SOUTH EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,SOUTH EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,South El Monte,,City Council,,,"MANUEL ""MANNY"" ACOSTA"
SOUTH GATE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,SOUTH GATE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,South Gate,,City Council,,,
WEST HOLLYWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council,WEST HOLLYWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,West Hollywood,,City Council,,,"LAUREN MEISTER,"
WESTLAKE VILLAGE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,WESTLAKE VILLAGE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Westlake Village,,City Council,,,"RAY PEARL,SUSAN MCSWEENEY,BRAD HALPERN"
"ALHAMBRA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, First District","ALHAMBRA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, First District",No,Alhambra,,"City Council, 1st District",,,KATHERINE LEE
"BELLFLOWER CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District","BELLFLOWER CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",No,Bellflower,,"City Council, 1st District",,,RAYMOND Y. HAMADA
"DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District","DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",No,Diamond Bar,,"City Council, 1st District",,,STEVE TYE
"DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District","DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",No,Duarte,,"City Council, 1st District",,,MARGARET E. FINLAY
"INGLEWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District","INGLEWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",No,Inglewood,,"City Council, 1st District",,,GEORGE W. DOTSON
"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District","MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",No,Montebello,,"City Council, 1st District",,,
"MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District","MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",No,Monterey Park,,"City Council, 1st District",,,
"ALHAMBRA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, Second District","ALHAMBRA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, Second District",No,Alhambra,,"City Council, 2nd District",,,ROSS J. MAZA
"ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District","ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",No,Arcadia,,"City Council, 2nd District",,,
"CARSON CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District","CARSON CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",No,Carson,,"City Council, 2nd District",,,JIM DEAR
"CLAREMONT CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District","CLAREMONT CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",No,Claremont,,"City Council, 2nd District",,,ED REECE
"EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District","EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",No,El Monte,,"City Council, 2nd District",,,MARTIN HERRERA
"INGLEWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District","INGLEWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",No,Inglewood,,"City Council, 2nd District",,,ALEX PADILLA
"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District (Unexpired term ending November 5, 2024)","MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District (Unexpired term ending November 5, 2024)",No,Montebello,,"City Council, 2nd District","Unexpired term ending November 5, 2024",,SCARLET PERALTA
"POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District","POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",No,Pomona,,"City Council, 2nd District",,,VICTOR PRECIADO
"WEST COVINA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District","WEST COVINA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",No,West Covina,,"City Council, 2nd District",,,LETTY LOPEZ
"ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District","ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",No,Arcadia,,"City Council, 3rd District",,,
"CLAREMONT CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District","CLAREMONT CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",No,Claremont,,"City Council, 3rd District",,,JENNIFER STARK
"DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District","DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",No,Diamond Bar,,"City Council, 3rd District",,,ANDREW CHOU
"EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District","EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",No,El Monte,,"City Council, 3rd District",,,
"LONG BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District","LONG BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",No,Long Beach,,"City Council, 3rd District",,,
"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District","MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",No,Montebello,,"City Council, 3rd District",,,SALVADOR MELENDEZ
"MONTEREY PARK CITY SPECIAL MUNICIPAL ELECTION Member of the City Council, 3rd District (Unexpired term ending November 5, 2024)","MONTEREY PARK CITY SPECIAL MUNICIPAL ELECTION Member of the City Council, 3rd District (Unexpired term ending November 5, 2024)",No,Monterey Park,,"City Council, 3rd District","Unexpired term ending November 5, 2024",,
"PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District","PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",No,Palmdale,,"City Council, 3rd District",,,LAURA BETTENCOURT
"POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District","POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",No,Pomona,,"City Council, 3rd District",,,NORA GARCIA
"CARSON CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District","CARSON CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",No,Carson,,"City Council, 4th District",,,ARLEEN BOCATIJA ROJAS
"CLAREMONT CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District","CLAREMONT CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",No,Claremont,,"City Council, 4th District",,,JED LEANO
"DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District","DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",No,Diamond Bar,,"City Council, 4th District",,,
"DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District","DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",No,Duarte,,"City Council, 4th District",,,
"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District (Unexpired term ending November 5, 2024)","MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District (Unexpired term ending November 5, 2024)",No,Montebello,,"City Council, 4th District","Unexpired term ending November 5, 2024",,DAVID TORRES
"PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District","PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",No,Palmdale,,"City Council, 4th District",,,
"SOUTH PASADENA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District","SOUTH PASADENA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",No,South Pasadena,,"City Council, 4th District",,,
"WEST COVINA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District","WEST COVINA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",No,West Covina,,"City Council, 4th District",,,
"ALHAMBRA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, Fifth District","ALHAMBRA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, Fifth District",No,Alhambra,,"City Council, 5th District",,,ADELE ANDRADE-STADLER
"ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,Arcadia,,"City Council, 5th District",,,MICHAEL DANIELSON
"BELLFLOWER CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","BELLFLOWER CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,Bellflower,,"City Council, 5th District",,,RAY DUNTON
"DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,Duarte,,"City Council, 5th District",,,SAMUEL KANG
"EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,El Monte,,"City Council, 5th District",,,
"LONG BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","LONG BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,Long Beach,,"City Council, 5th District",,,
"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,Montebello,,"City Council, 5th District",,,ANGIE JIMENEZ
"MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,Monterey Park,,"City Council, 5th District",,,
"PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,Palmdale,,"City Council, 5th District",,,
"POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,Pomona,,"City Council, 5th District",,,STEVE LUSTRO
"SOUTH PASADENA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","SOUTH PASADENA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,South Pasadena,,"City Council, 5th District",,,
"WEST COVINA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","WEST COVINA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",No,West Covina,,"City Council, 5th District",,,TONY WU
"DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 6th District","DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 6th District",No,Duarte,,"City Council, 6th District",,,CESAR ANDRES GARCIA
"EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 6th District","EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 6th District",No,El Monte,,"City Council, 6th District",,,
"LONG BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 9th District","LONG BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 9th District",No,Long Beach,,"City Council, 9th District",,,
"DOWNEY CITY GENERAL MUNICIPAL ELECTION Council Member, District 2","DOWNEY CITY GENERAL MUNICIPAL ELECTION Council Member, District 002",No,Downey,,"City Council, District 2",,,
"DOWNEY CITY GENERAL MUNICIPAL ELECTION Council Member, District 4","DOWNEY CITY GENERAL MUNICIPAL ELECTION Council Member, District 004",No,Downey,,"City Council, District 4",,,CLAUDIA M. FROMETA
AZUSA CITY GENERAL MUNICIPAL ELECTION City Treasurer,AZUSA CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,Azusa,,City Treasurer,,,"ARTHUR M. VASQUEZ, JR."
BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION City Treasurer,BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,Baldwin Park,,City Treasurer,,,
BURBANK CITY GENERAL MUNICIPAL ELECTION City Treasurer,BURBANK CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,Burbank,,City Treasurer,,,KRYSTLE PALMER
CARSON CITY GENERAL MUNICIPAL ELECTION City Treasurer,CARSON CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,Carson,,City Treasurer,,,MONICA COOPER
EL MONTE CITY GENERAL MUNICIPAL ELECTION City Treasurer,EL MONTE CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,El Monte,,City Treasurer,,,VIVIANA LONGORIA
HAWTHORNE CITY GENERAL MUNICIPAL ELECTION City Treasurer,HAWTHORNE CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,Hawthorne,,City Treasurer,,,GREGORY A. FALLON
MONTEBELLO CITY GENERAL MUNICIPAL ELECTION City Treasurer,MONTEBELLO CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,Montebello,,City Treasurer,,,
MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION City Treasurer,MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,Monterey Park,,City Treasurer,,,
SAN GABRIEL CITY GENERAL MUNICIPAL ELECTION City Treasurer,SAN GABRIEL CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,San Gabriel,,City Treasurer,,,KEVIN B. SAWKINS
SIGNAL HILL CITY GENERAL MUNICIPAL ELECTION City Treasurer,SIGNAL HILL CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,Signal Hill,,City Treasurer,,,DAVID HOPPER
SOUTH GATE CITY GENERAL MUNICIPAL ELECTION City Treasurer,SOUTH GATE CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,South Gate,,City Treasurer,,,GREG MARTINEZ
SOUTH PASADENA CITY GENERAL MUNICIPAL ELECTION City Treasurer,SOUTH PASADENA CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,South Pasadena,,City Treasurer,,,
WEST COVINA CITY GENERAL MUNICIPAL ELECTION City Treasurer,WEST COVINA CITY GENERAL MUNICIPAL ELECTION City Treasurer,No,West Covina,,City Treasurer,,,COLLEEN B. ROZATTI
CONTROLLER,CONTROLLER,No,California,,Controller,,,
BALDWIN PARK UNIFIED SCHOOL DISTRICT Governing Board Member,BALDWIN PARK UNIFIED SCHOOL DISTRICT Governing Board Member,No,Baldwin Park Unified School District,,Governing Board Member,,,DEANNA CORONADO ROBLES
BASSETT UNIFIED SCHOOL DISTRICT Governing Board Member,BASSETT UNIFIED SCHOOL DISTRICT Governing Board Member,No,Bassett Unified School District,,Governing Board Member,,,"PATRICE STANZIONE,DOLORES CASTRO RIVERA"
BELLFLOWER UNIFIED SCHOOL DISTRICT Governing Board Member,BELLFLOWER UNIFIED SCHOOL DISTRICT Governing Board Member,No,Bellflower Unified School District,,Governing Board Member,,,"RENITA ARMSTRONG,TOMAS IVENS,RICHARD O. DOWNING"
BEVERLY HILLS UNIFIED SCHOOL DISTRICT Governing Board Member,BEVERLY HILLS UNIFIED SCHOOL DISTRICT Governing Board Member,No,Beverly Hills Unified School District,,Governing Board Member,,,RACHELLE MARCUS
"BONITA UNIFIED SCHOOL DISTRICT SPECIAL ELECTION Governing Board Member (Unexpired term ending December 13, 2024)","BONITA UNIFIED SCHOOL DISTRICT SPECIAL ELECTION Governing Board Member (Unexpired term ending December 13, 2024)",No,Bonita Unified School District,,Governing Board Member,"Unexpired term ending December 13, 2024",,
BURBANK UNIFIED SCHOOL DISTRICT Governing Board Member,BURBANK UNIFIED SCHOOL DISTRICT Governing Board Member,No,Burbank Unified School District,,Governing Board Member,,,CHARLENE TABET
CULVER CITY UNIFIED SCHOOL DISTRICT Governing Board Member,CULVER CITY UNIFIED SCHOOL DISTRICT Governing Board Member,No,Culver City Unified School District,,Governing Board Member,SUMMER MCBRIDE,,
"DUARTE UNIFIED SCHOOL DISTRICT SPECIAL ELECTION Governing Board Member (Unexpired term ending December 13, 2024)","DUARTE UNIFIED SCHOOL DISTRICT SPECIAL ELECTION Governing Board Member (Unexpired term ending December 13, 2024)",No,Duarte Unified School District,,Governing Board Member,"Unexpired term ending December 13, 2024",,
EL MONTE CITY SCHOOL DISTRICT Governing Board Member,EL MONTE CITY SCHOOL DISTRICT Governing Board Member,No,El Monte City School District,,Governing Board Member,,,LISETTE IDALIA MENDEZ
EL RANCHO UNIFIED SCHOOL DISTRICT Governing Board Member,EL RANCHO UNIFIED SCHOOL DISTRICT Governing Board Member,No,El Rancho Unified School District,,Governing Board Member,,,CAROLYN CASTILLO
EL SEGUNDO UNIFIED SCHOOL DISTRICT Governing Board Member,EL SEGUNDO UNIFIED SCHOOL DISTRICT Governing Board Member,No,El Segundo Unified School District,,Governing Board Member,,,TRACEY I. MILLER-ZARNEKE
KEPPEL UNION SCHOOL DISTRICT Governing Board Member,KEPPEL UNION SCHOOL DISTRICT Governing Board Member,No,Keppel Union School District,,Governing Board Member,,,GEORGIA HALLIMAN
LA CAÑADA UNIFIED SCHOOL DISTRICT Governing Board Member,LA CAÑADA UNIFIED SCHOOL DISTRICT Governing Board Member,No,La Cañada Unified School District,,Governing Board Member,,,"JOE RADABAUGH,DAN JEFFRIES"
LAS VIRGENES UNIFIED SCHOOL DISTRICT Governing Board Member,LAS VIRGENES UNIFIED SCHOOL DISTRICT Governing Board Member,No,Las Virgenes Unified School District,,Governing Board Member,,,"ANGELA CUTBILL,LESLI STEIN,DALLAS B. LAWRENCE"
MANHATTAN BEACH UNIFIED SCHOOL DISTRICT Governing Board Member,MANHATTAN BEACH UNIFIED SCHOOL DISTRICT Governing Board Member,No,Manhattan Beach Unified School District,,Governing Board Member,,,"JENNIFER ""JEN"" FENTON"
MONTEBELLO UNIFIED SCHOOL DISTRICT Governing Board Member,MONTEBELLO UNIFIED SCHOOL DISTRICT Governing Board Member,No,Montebello Unified School District,,Governing Board Member,,,"MARISOL M. URIBE,JENNIFER GUTIERREZ"
MOUNTAIN VIEW SCHOOL DISTRICT Governing Board Member,MOUNTAIN VIEW SCHOOL DISTRICT Governing Board Member,No,Mountain View School District,,Governing Board Member,,,"VERONICA SIFUENTES,ADAM C. CARRANZA,CINDY WU"
NORWALK-LA MIRADA UNIFIED SCHOOL DISTRICT Governing Board Member,NORWALK-LA MIRADA UNIFIED SCHOOL DISTRICT Governing Board Member,No,Norwalk-La Mirada Unified School District,,Governing Board Member,,,"ROBERTO ""ROB"" CANCIO,NORMA AMEZCUA,JORGE ALBERTO TIRADO,NARCIS BRASOV"
PALMDALE SCHOOL DISTRICT Governing Board Member,PALMDALE SCHOOL DISTRICT Governing Board Member,No,Palmdale School District,,Governing Board Member,,,"RALPH VELADOR,SIMONE ZULU,NANCY K. SMITH"
PALOS VERDES PENINSULA UNIFIED SCHOOL DISTRICT Governing Board Member,PALOS VERDES PENINSULA UNIFIED SCHOOL DISTRICT Governing Board Member,No,Palos Verdes Peninsula Unified School District,,Governing Board Member,,,
"PALOS VERDES PENINSULA UNIFIED SCHOOL DISTRICT SPECIAL ELECTION Governing Board Member (Unexpired term ending December 13, 2024)","PALOS VERDES PENINSULA UNIFIED SCHOOL DISTRICT SPECIAL ELECTION Governing Board Member (Unexpired term ending December 13, 2024)",No,Palos Verdes Peninsula Unified School District,,Governing Board Member,"Unexpired term ending December 13, 2024",,AMI GANDHI
PARAMOUNT UNIFIED SCHOOL DISTRICT Governing Board Member,PARAMOUNT UNIFIED SCHOOL DISTRICT Governing Board Member,No,Paramount Unified School District,,Governing Board Member,,,"CARMEN PATRICIA GOMEZ,YESENIA MARIA CUARENTA,SONIA OLMOS DE LEON"
ROSEMEAD SCHOOL DISTRICT Governing Board Member,ROSEMEAD SCHOOL DISTRICT Governing Board Member,No,Rosemead School District,,Governing Board Member,,,"JOHN QUINTANILLA,NANCY ARMENTA,DIANE BENITEZ"
SAN MARINO UNIFIED SCHOOL DISTRICT Governing Board Member,SAN MARINO UNIFIED SCHOOL DISTRICT Governing Board Member,No,San Marino Unified School District,,Governing Board Member,,,
"SAN MARINO UNIFIED SCHOOL DISTRICT SPECIAL ELECTION Governing Board Member (Unexpired term ending December 13, 2024)","SAN MARINO UNIFIED SCHOOL DISTRICT SPECIAL ELECTION Governing Board Member (Unexpired term ending December 13, 2024)",No,San Marino Unified School District,,Governing Board Member,"Unexpired term ending December 13, 2024",,"SHELLEY RYAN,C. JOSEPH CHANG"
VALLE LINDO SCHOOL DISTRICT Governing Board Member,VALLE LINDO SCHOOL DISTRICT Governing Board Member,No,Valle Lindo School District,,Governing Board Member,,,"REYNALDO REY SOTO,VERONICA LAURIA,RUDY T. MARTINEZ"
WALNUT VALLEY UNIFIED SCHOOL DISTRICT Governing Board Member,WALNUT VALLEY UNIFIED SCHOOL DISTRICT Governing Board Member,No,Walnut Valley Unified School District,,Governing Board Member,,,"YI TONY TORNG,HELEN HALL,CINDY RUIZ"
WEST COVINA UNIFIED SCHOOL DISTRICT Governing Board Member,WEST COVINA UNIFIED SCHOOL DISTRICT Governing Board Member,No,West Covina Unified School District,,Governing Board Member,,,"ROSE LOPEZ,EILEEN MIRANDA JIMENEZ"
"LONG BEACH UNIFIED SCHOOL DISTRICT Governing Board Member, District 1","LONG BEACH UNIFIED SCHOOL DISTRICT Governing Board Member, District 001",No,Long Beach Unified School District,,"Governing Board Member, District 1",,,
"CASTAIC UNION SCHOOL DISTRICT Governing Board Member, Trustee Area E","CASTAIC UNION SCHOOL DISTRICT Governing Board Member, Trustee Area E",No,Castaic Union School District,,"Governing Board Member, Trustee Area E",,,MAYREEN BURK
"ANTELOPE VALLEY JOINT UNION HIGH SCHOOL DISTRICT Governing Board Member, Trustee Area No. 1","ANTELOPE VALLEY JOINT UNION HIGH SCHOOL DISTRICT Governing Board Member, Trustee Area No. 001",No,Antelope Valley Joint Union High School District,,"Governing Board Member, Trustee Area No. 1",,,
"CENTINELA VALLEY UNION HIGH SCHOOL DISTRICT Governing Board Member, Trustee Area No. 1","CENTINELA VALLEY UNION HIGH SCHOOL DISTRICT Governing Board Member, Trustee Area No. 001",No,Centinela Valley Union High School District,,"Governing Board Member, Trustee Area No. 1",,,MARISELA RUIZ
"COMPTON COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area No. 1","COMPTON COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area No. 001",No,Compton Community College District,,"Governing Board Member, Trustee Area No. 1",,,ANDRES RAMOS
"GLENDORA UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 1","GLENDORA UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 001",No,Glendora Unified School District,,"Governing Board Member, Trustee Area No. 1",,,ZONDRA BORG
"NEWHALL SCHOOL DISTRICT Governing Board Member, Trustee Area No. 1","NEWHALL SCHOOL DISTRICT Governing Board Member, Trustee Area No. 001",No,Newhall School District,,"Governing Board Member, Trustee Area No. 1",,,BRIAN D. WALTERS
"POMONA UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 1","POMONA UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 001",No,Pomona Unified School District,,"Governing Board Member, Trustee Area No. 1",,,
"RIO HONDO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area No. 1","RIO HONDO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area No. 001",No,Rio Hondo Community College District,,"Governing Board Member, Trustee Area No. 1",,,ANAIS MEDINA DIAZ
"SAUGUS UNION SCHOOL DISTRICT Governing Board Member, Trustee Area No. 1","SAUGUS UNION SCHOOL DISTRICT Governing Board Member, Trustee Area No. 001",No,Saugus Union School District,,"Governing Board Member, Trustee Area No. 1",,,
"ABC UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 2","ABC UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 002",No,ABC Unified School District,,"Governing Board Member, Trustee Area No. 2",,,SOO YOO
"ANTELOPE VALLEY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area No. 2","ANTELOPE VALLEY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area No. 002",No,Antelope Valley Community College District,,"Governing Board Member, Trustee Area No. 2",,,STEVE D. BUFFALO
"BONITA UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 2","BONITA UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 002",No,Bonita Unified School District,,"Governing Board Member, Trustee Area No. 2",,,DEREK HAMID BAHMANOU
"CENTINELA VALLEY UNION HIGH SCHOOL DISTRICT Governing Board Member, Trustee Area No. 2","CENTINELA VALLEY UNION HIGH SCHOOL DISTRICT Governing Board Member, Trustee Area No. 002",No,Centinela Valley Union High School District,,"Governing Board Member, Trustee Area No. 2",,,HUGO M. ROJAS
"GLENDORA UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 2","GLENDORA UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 002",No,Glendora Unified School District,,"Governing Board Member, Trustee Area No. 2",,,
"HACIENDA LA PUENTE UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 2","HACIENDA LA PUENTE UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 002",No,Hacienda La Puente Unified School District,,"Governing Board Member, Trustee Area No. 2",,,
"LAWNDALE SCHOOL DISTRICT Governing Board Member, Trustee Area No. 2","LAWNDALE SCHOOL DISTRICT Governing Board Member, Trustee Area No. 002",No,Lawndale Union School District,,"Governing Board Member, Trustee Area No. 2",,,SHIRLEY RUDOLPH
"LOWELL JOINT SCHOOL DISTRICT Governing Board Member, Trustee Area No. 2","LOWELL JOINT SCHOOL DISTRICT Governing Board Member, Trustee Area No. 002",No,Lowell Joint School District,,"Governing Board Member, Trustee Area No. 2",,,
"NEWHALL SCHOOL DISTRICT Governing Board Member, Trustee Area No. 2","NEWHALL SCHOOL DISTRICT Governing Board Member, Trustee Area No. 002",No,Newhall School District,,"Governing Board Member, Trustee Area No. 2",,,
"SAUGUS UNION SCHOOL DISTRICT Governing Board Member, Trustee Area No. 2","SAUGUS UNION SCHOOL DISTRICT Governing Board Member, Trustee Area No. 002",No,Saugus Union School District,,"Governing Board Member, Trustee Area No. 2",,,LAURA ARROWSMITH
"WILLIAM S. HART UNION HIGH SCHOOL DISTRICT Governing Board Member, Trustee Area No. 2","WILLIAM S. HART UNION HIGH SCHOOL DISTRICT Governing Board Member, Trustee Area No. 002",No,William S. Hart Union High School District,,"Governing Board Member, Trustee Area No. 2",,,BOB JENSEN
"ABC UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 3","ABC UNIFIED SCHOOL DISTRICT Governing Board Member, Trustee Area No. 003",No,ABC Unified School District,,"Governing Board Member, Trustee Area No. 3",,,ERNIE NISHII
